,SRRecordID,ServiceRequestNum,SRType,MethodReceived,CreatedDate,SRStatus,StatusDate,DueDate,CloseDate,Agency,LastActivity,LastActivityDate,Outcome,Address,ZipCode,Neighborhood,CouncilDistrict,PoliceDistrict,PolicePost,Latitude,Longitude,GeoLocation,2010 Census Wards Precincts,2010 Census Neighborhoods,Zip Codes
446397,5004100000cKv8iAAC,04-00447823,TEC-Footways Contract/Reconstruction,Phone,2004-12-07 09:12:09,Closed,12/07/2004 09:12:10 AM,12/07/2004 04:12:09 AM,11/16/2018 12:50:19 PM,Transportation,Second Notice,02/27/2020 07:12:01 AM,,"317 N CAREY ST, Baltimore City, 21223",21223.0,Franklin Square,9.0,Western,711.0,39.292341,-76.638897,"(39.292341, -76.638897)",10.0,84.0,"27,632"
447064,5004100000cKv8gAAC,04-00342584,TEC-Footways Contract/Reconstruction,Phone,2004-09-08 02:51:20,Closed,09/08/2004 02:51:22 PM,09/08/2004 10:51:20 AM,11/16/2018 12:48:50 PM,Transportation,Second Notice,02/27/2020 07:12:01 AM,,"3386 DULANY ST, Baltimore City, 21229",21229.0,Saint Agnes,10.0,Southwestern,832.0,39.274416,-76.674792,"(39.274416, -76.674792)",166.0,220.0,"27,950"
448591,5004100000cKv8eAAC,04-00176134,TEC-Footways Contract/Reconstruction,Phone,2004-05-11 03:09:16,Closed,05/11/2004 03:09:16 PM,05/11/2004 11:09:16 AM,11/16/2018 12:47:51 PM,Transportation,Second Notice,02/27/2020 07:12:01 AM,,"3616 ECHODALEAVE, Baltimore City, 21214",21214.0,Waltherson,2.0,Northeastern,426.0,39.343851,-76.558176,"(39.343851, -76.558176)",214.0,248.0,"27,291"
449188,5004100000cKv8fAAC,04-00331511,TEC-Footways Contract/Reconstruction,Phone,2004-08-30 03:42:06,Closed,08/30/2004 03:42:07 PM,08/30/2004 11:42:06 AM,11/16/2018 12:48:22 PM,Transportation,Second Notice,02/27/2020 07:12:01 AM,,"3722 GLENMOREAVE, Baltimore City, 21206",21206.0,Glenham-Belhar,2.0,Northeastern,425.0,39.352874,-76.541839,"(39.352874, -76.541839)",262.0,93.0,"13,991"
453659,5004100000cKv8hAAC,04-00443729,TEC-Footways Contract/Reconstruction,Phone,2004-12-02 02:49:51,Closed,12/02/2004 02:49:51 PM,12/02/2004 09:49:51 AM,11/16/2018 12:49:17 PM,Transportation,Second Notice,02/27/2020 07:12:01 AM,,"3386 DULANY ST, Baltimore City, 21229",21229.0,Saint Agnes,10.0,Southwestern,832.0,39.274416,-76.674792,"(39.274416, -76.674792)",166.0,220.0,"27,950"
457773,5004100000cKv8jAAC,04-00459746,TEC-Footways Contract/Reconstruction,Phone,2004-12-16 02:31:40,Closed,12/16/2004 02:31:41 PM,12/16/2004 09:31:40 AM,11/16/2018 12:50:44 PM,Transportation,Second Notice,02/27/2020 07:12:01 AM,,"2540 LOYOLA NORTHWAY, Baltimore City, 21215",21215.0,Greenspring,6.0,Northern,533.0,39.339411,-76.662254,"(39.339411, -76.662254)",70.0,96.0,"27,295"
