,ticket_id,ticket_method_received,ticket_created_date_time,ticket_status,ticket_closed_date_time,issue_type,issue_sub_category,street_address,neighborhood_district,latitude,longitude,New Georeferenced Column
3714,16-00056816,,2016-07-19 16:34:00,Closed,8/2/16 15:26,Trash Complaints,Garbage Cart Issues,2 WALDRON CIR,WARD 7,34.6996016,-92.41287525,"2 WALDRON CIR
LITTLE ROCK 72210
(34.6996016, -92.41287525)"
15659,16-00040999,,2016-06-03 15:11:00,Closed,6/3/16 15:11,Trash Complaints,Missed Recycling Pick-Up,13004 ARTHUR LN,WARD 5,34.74900628,-92.41851343,"13004 ARTHUR LN
LITTLE ROCK 72211
(34.74900628, -92.41851343)"
18455,16-00039894,,2016-06-01 07:47:00,Closed,6/8/16 9:20,Code Violations,High Grass & Weeds,110 WHITE OAK LN,WARD 3,34.77747908,-92.36053109,"110 WHITE OAK LN
LITTLE ROCK 72227
(34.77747908, -92.36053109)"
21872,16-00078181,,2016-09-19 10:35:00,Closed,9/27/16 7:49,Trash Complaints,Garbage Cart Issues,215 EPERNAY LOOP,WARD 5,34.81186608,-92.51280919,"215 EPERNAY LOOP
LITTLE ROCK 72223
(34.81186608, -92.51280919)"
24015,16-00030422,,2016-05-02 10:49:00,Closed,5/2/16 10:49,Code Violations,Special Project Pickups,8724 STANTON RD,WARD 2,34.66948252,-92.33344951,"8724 STANTON RD
LITTLE ROCK 72209
(34.66948252, -92.33344951)"
26680,16-00096146,,2016-11-15 14:36:00,Closed,12/1/16 7:29,Code Violations,Special Project Pickups,8722 STANTON RD,WARD 2,34.66974303,-92.33332674,"8722 STANTON RD
LITTLE ROCK 72209
(34.66974303, -92.33332674)"
28408,16-00100254,,2016-12-03 15:28:00,Closed,12/6/16 10:47,Public Works,Pothole Repair,1922 RAHLING RD,WARD 5,34.78193028,-92.44135388,"1922 RAHLING RD
LITTLE ROCK 72223
(34.78193028, -92.44135388)"
30261,16-00035109,,2016-05-17 12:36:00,Closed,6/30/16 16:21,Trash Complaints,Garbage Cart Issues,5 ROANE CIR,WARD 6,34.73442664,-92.3491209,"5 ROANE CIR
LITTLE ROCK 72204
(34.73442664, -92.3491209)"
30548,16-00039240,,2016-05-27 11:47:00,Closed,6/6/16 8:26,Trash Complaints,Garbage Cart Issues,5801 HOPSON DR,WARD 2,34.69690801,-92.34104246,"5801 HOPSON DR
LITTLE ROCK 72209
(34.69690801, -92.34104246)"
31304,16-00042835,,2016-06-08 16:54:00,Closed,6/10/16 13:31,Trash Complaints,Missed Garbage Pick-Up,9 KERIEN LN,WARD 5,34.77983575,-92.46230267,"9 KERIEN LN
LITTLE ROCK 72223
(34.77983575, -92.46230267)"
31488,16-00000808,,2016-01-06 07:55:00,Closed,1/6/16 8:25,Public Works,Pothole Repair,116 N BOWMAN RD,WARD 5,34.7551826,-92.40651779,"116 N BOWMAN RD
LITTLE ROCK 72211
(34.7551826, -92.40651779)"
31722,16-00081342,,2016-09-27 15:02:00,Closed,11/1/16 9:43,Code Violations,High Grass & Weeds,2312 CENTER ST,WARD 1,34.72630536,-92.27638762,"2312 CENTER ST
LITTLE ROCK 72206
(34.72630536, -92.27638762)"
32035,16-00084163,,2016-10-06 10:28:00,Closed,10/27/16 16:37,Animal Services,Trap Request,27 MONTVALE DR,WARD 5,34.77804642,-92.43319469,"27 MONTVALE DR
LITTLE ROCK 72212
(34.77804642, -92.43319469)"
34961,16-00069002,,2016-08-23 11:32:00,Closed,8/30/16 13:49,Public Works,Pothole Repair,1721 WILSON RD,WARD 6,34.73769977,-92.38773471,"1721 WILSON RD
LITTLE ROCK 72205
(34.73769977, -92.38773471)"
40523,16-00079924,,2016-09-22 16:30:00,Closed,10/3/16 14:01,Code Violations,High Grass & Weeds,10214 RONALD DR,WARD 4,34.75524479,-92.38787377,"10214 RONALD DR
LITTLE ROCK 72205
(34.75524479, -92.38787377)"
41437,16-00001085,,2016-01-06 15:10:00,Closed,1/8/16 8:42,Public Works,Pothole Repair,3 SECLUDED CIR,WARD 6,34.73060086,-92.44571183,"3 SECLUDED CIR
LITTLE ROCK 72210
(34.73060086, -92.44571183)"
45592,16-00036571,,2016-05-23 07:39:00,Closed,5/25/16 11:24,Trash Complaints,Missed Garbage Pick-Up,28 SPRINGTREE CIR,WARD 7,34.64225816,-92.35491188,"28 SPRINGTREE CIR
LITTLE ROCK 72209
(34.64225816, -92.35491188)"
45934,16-00042489,,2016-06-08 10:36:00,Closed,6/27/16 11:59,Trash Complaints,Knuckleboom Pick-Up,1701 E 22ND ST,WARD 1,34.72639208,-92.25045949,"1701 E 22ND ST
LITTLE ROCK 72206
(34.72639208, -92.25045949)"
